appid,name,price,developer,publisher,average_forever,median_forever,ccu,genres
1748523,Starry Moon Island Cannon War MP04,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748524,Starry Moon Island Cannon War MP05,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748525,Starry Moon Island Cannon War MP06,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748526,Starry Moon Island Cannon War MP07,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748527,Starry Moon Island Cannon War MP08,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748528,Starry Moon Island Cannon War MP09,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748529,Starry Moon Island Cannon War MP10,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748530,Starry Moon Island Perimeter MP01,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748531,Starry Moon Island Perimeter MP02,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748532,Starry Moon Island Perimeter MP03,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748533,Starry Moon Island Perimeter MP04,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748534,Starry Moon Island Perimeter MP05,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748535,Starry Moon Island Perimeter MP06,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748536,Starry Moon Island Perimeter MP07,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748537,Starry Moon Island Perimeter MP08,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748538,Starry Moon Island Perimeter MP09,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748539,Starry Moon Island Perimeter MP10,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748540,Starry Moon Island DNA War MP01,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748541,Starry Moon Island DNA War MP02,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748542,Starry Moon Island DNA War MP03,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748543,Starry Moon Island DNA War MP04,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748544,Starry Moon Island DNA War MP05,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748545,Starry Moon Island DNA War MP06,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748546,Starry Moon Island DNA War MP07,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748547,Starry Moon Island DNA War MP08,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748548,Starry Moon Island DNA War MP09,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748549,Starry Moon Island DNA War MP10,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748550,Starry Moon Island Tank Advance MP01,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748551,Starry Moon Island Tank Advance MP02,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748552,Starry Moon Island Tank Advance MP03,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748553,Starry Moon Island Tank Advance MP04,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748554,Starry Moon Island Tank Advance MP05,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748555,Starry Moon Island Tank Advance MP06,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748556,Starry Moon Island Tank Advance MP07,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748557,Starry Moon Island Tank Advance MP08,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748558,Starry Moon Island Tank Advance MP09,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748559,Starry Moon Island Tank Advance MP10,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748560,Starry Moon Island Cannonade MP01,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748561,Starry Moon Island Cannonade MP02,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748562,Starry Moon Island Cannonade MP03,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748563,Starry Moon Island Cannonade MP04,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748564,Starry Moon Island Cannonade MP05,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748565,Starry Moon Island Cannonade MP06,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748566,Starry Moon Island Cannonade MP07,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748567,Starry Moon Island Cannonade MP08,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748568,Starry Moon Island Cannonade MP09,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748569,Starry Moon Island Cannonade MP10,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748570,Hexmet World,,,,0,0,0,[]
1748446,Starry Moon Island Out Of Control MP07,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748447,Starry Moon Island Out Of Control MP08,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748448,Starry Moon Island Out Of Control MP09,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748449,Starry Moon Island Out Of Control MP10,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748450,Sword of Hypotenuse Soundtrack,1599,iamrece,iamrece,0,0,0,[]
1748460,Starry Moon Island Red Snake MP01,49,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748461,Starry Moon Island Red Snake MP02,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748462,Starry Moon Island Red Snake MP03,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748463,Starry Moon Island Red Snake MP04,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748464,Starry Moon Island Red Snake MP05,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748465,Starry Moon Island Red Snake MP06,99,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
1748466,Starry Moon Island Red Snake MP07,74,TigerQiuQiu,TigerQiuQiu,0,0,0,[]
